Posted Date,Reference Number,Payee,Address,Amount
03/17/2026,24034546075003310267535,"7-ELEVEN 33486 CAMBRIDGE MA","CAMBRIDGE     MA ",-42.45
03/16/2026,24755426075730754463475,"CENTRAL CONVENIENCE CAMBRIDGE MA","CAMBRIDGE     MA ",-91.98
03/16/2026,24137466074300859983235,"TST* STEPHANIES B BOSTON MA","BOSTON        MA ",-64.14
03/16/2026,24427336073720257136265,"MCDONALD'S F2912 CAMBRIDGE MA","CAMBRIDGE     MA ",-18.70
03/16/2026,24692166073107086483622,"TST*PICCO Boston MA","Boston        MA ",-52.07
03/14/2026,24692166072106740032941,"TST*CAFE LUNA - MAIN STR Cambridge MA","Cambridge     MA ",-28.68
03/14/2026,24692166072106738914191,"SQ *HUNTINGTON THEATRE COBoston MA","Boston        MA ",-16.80
03/14/2026,24137466072501052344917,"TST* STATE PARK 2 CAMBRIDGE MA","CAMBRIDGE     MA ",-20.65
03/14/2026,24137466072501052344834,"TST* STATE PARK 2 CAMBRIDGE MA","CAMBRIDGE     MA ",-20.65
03/13/2026,24137466072001534310107,"BROTHERS MARKETPLACE #404CAMBRIDGE MA","CAMBRIDGE     MA ",-11.76
03/13/2026,24943006071393594103194,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-8.80
03/13/2026,24034546071002416345256,"7-ELEVEN 33486 CAMBRIDGE MA","CAMBRIDGE     MA ",-33.99
03/12/2026,24755426071150713032697,"CENTRAL CONVENIENCE CAMBRIDGE MA","CAMBRIDGE     MA ",-12.00
03/12/2026,24943006070392998040821,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-1.26
03/12/2026,24943006070392998038668,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-12.27
03/12/2026,24943006070392998036456,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-9.08
03/12/2026,24164076070091016007029,"TARGET 00032227 CAMBRIDGE MA","CAMBRIDGE     MA ",-9.02
03/11/2026,24055236070676132086097,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
03/11/2026,24943006069392406114559,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-4.41
03/11/2026,24943006069392406113098,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-8.80
03/11/2026,24943006069392406111746,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-1.26
03/11/2026,24164076069091016353723,"TARGET 00032227 CAMBRIDGE MA","CAMBRIDGE     MA ",-29.44
03/11/2026,24692166069103375726249,"TST*FLAT TOP JOHNNYS Cambridge MA","Cambridge     MA ",-6.35
03/10/2026,24116416069674776586157,"CTLP*Canteen Vending S CHARLOTTE NC","CHARLOTTE     NC ",-2.00
03/10/2026,24055236069674997076884,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
03/10/2026,24755426069150690660597,"CENTRAL CONVENIENCE CAMBRIDGE MA","CAMBRIDGE     MA ",-20.00
03/10/2026,24943006068391822085428,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-4.41
03/10/2026,24943006068391822083571,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-9.71
03/10/2026,24692166069103129575298,"CPI*CANTEEN VENDING ALBAN800-628-8363 NY","800-628-8363  NY ",-3.45
03/10/2026,24240986069600191577951,"USCIS ELIS I765 800-375-5283 DC","800-375-5283  DC ",-470.00
03/10/2026,24055236068673912703953,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
03/09/2026,24137466068001433260151,"CVS/PHARMACY #11242 CAMBRIDGE MA","CAMBRIDGE     MA ",-8.22
03/09/2026,24427336067720248867083,"MCDONALD'S F2912 CAMBRIDGE MA","CAMBRIDGE     MA ",-11.22
03/09/2026,24164076067091016349954,"TARGET 00032227 CAMBRIDGE MA","CAMBRIDGE     MA ",-15.58
03/09/2026,24793386067003322328095,"Perillas Food LLC Everett MA","Everett       MA ",-19.46
03/09/2026,24164076067091016228935,"TARGET 00032227 CAMBRIDGE MA","CAMBRIDGE     MA ",-2.99
03/09/2026,06720405720050019873117,"ONLINE PAYMENT FROM CHK 8178","",1184.46
03/09/2026,24801976067672742851700,"SUPREME LIQUORS CAMBRIDG CAMBRIDGE MA","CAMBRIDGE     MA ",-24.37
03/09/2026,24034546066001346269567,"7-ELEVEN 33486 CAMBRIDGE MA","CAMBRIDGE     MA ",-33.99
03/07/2026,24055236066671656971481,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
03/07/2026,24137466066001567619679,"BROTHERS MARKETPLACE #404CAMBRIDGE MA","CAMBRIDGE     MA ",-25.86
03/07/2026,24427336065720262467754,"MCDONALD'S F2912 CAMBRIDGE MA","CAMBRIDGE     MA ",-11.22
03/06/2026,24431066065389687860725,"CHIPOTLE 1615 CAMBRIDGE MA","CAMBRIDGE     MA ",-16.75
03/06/2026,24793386065002121960092,"Bacaro Bar Cambridge MA","Cambridge     MA ",-7.62
03/06/2026,24943006064389528109983,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-4.41
03/06/2026,24943006064389528107797,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-4.41
03/06/2026,24943006064389528106591,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-8.80
03/06/2026,24943006064389528105585,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-3.90
03/06/2026,24692166064109224997597,"CPI*CANTEEN VENDING ALBAN800-628-8363 NY","800-628-8363  NY ",-3.45
03/06/2026,24034546064000992015490,"7-ELEVEN 33486 CAMBRIDGE MA","CAMBRIDGE     MA ",-8.49
03/05/2026,24116416064669091499586,"CTLP*Canteen Vending S CHARLOTTE NC","CHARLOTTE     NC ",-2.00
03/05/2026,24055236064669309080082,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
03/05/2026,24755426064150641915525,"CENTRAL CONVENIENCE CAMBRIDGE MA","CAMBRIDGE     MA ",-13.50
03/05/2026,24943006063388941113078,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-8.80
03/05/2026,24943006063388941111338,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-1.26
03/05/2026,24692166063108389486710,"NYTIMES DISC* 800-698-4637 NY","800-698-4637  NY ",-2.00
03/05/2026,24692166063108112170623,"CPI*CANTEEN VENDING ALBAN800-628-8363 NY","800-628-8363  NY ",-3.45
03/04/2026,24055236063668166180010,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
03/04/2026,24055236063668166095135,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
03/04/2026,24755426063150632006640,"CENTRAL CONVENIENCE CAMBRIDGE MA","CAMBRIDGE     MA ",-10.00
03/04/2026,24053456063388405308704,"AMERICAN AIR0012322054617FORT WORTH TX","FORT WORTH    TX ",-59.00
03/04/2026,24943006062388345111257,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-1.26
03/04/2026,24943006062388345108667,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-8.80
03/04/2026,24943006062388345107198,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-1.26
03/04/2026,24034546062000550014531,"7-ELEVEN 33486 CAMBRIDGE MA","CAMBRIDGE     MA ",-8.49
03/04/2026,24692166062106839249002,"MIT INT STUDENTS OFF 617-253-3795 MA","617-253-3795  MA ",-150.00
03/03/2026,06220405720047552768105,"ONLINE PAYMENT FROM CHK 8178","",1289.58
03/03/2026,24116416062666815515376,"CTLP*Canteen Vending S CHARLOTTE NC","CHARLOTTE     NC ",-2.00
03/03/2026,24445006062000920490229,"VENDING MACHINE PETALUMA CA","PETALUMA      CA ",-9.08
03/03/2026,24943006061387746089246,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-1.26
03/03/2026,24943006061387746084965,"MIT CAFE CAMBRIDGE MA","CAMBRIDGE     MA ",-1.26
03/03/2026,24793386061002075175097,"Perillas Food LLC Everett MA","Everett       MA ",-38.93
03/02/2026,24137466061001529202783,"CVS/PHARMACY #11242 CAMBRIDGE MA","CAMBRIDGE     MA ",-53.64
03/02/2026,24755426061730617591278,"CENTRAL CONVENIENCE CAMBRIDGE MA","CAMBRIDGE     MA ",-10.00
03/02/2026,24137466060501395242228,"TST* SHAY'S PUB & WINE BACAMBRIDGE MA","CAMBRIDGE     MA ",-40.40
03/02/2026,24692166060104999499048,"TST*MR BARTLEYS BURGER Cambridge MA","Cambridge     MA ",-64.78
03/02/2026,24755426060150606233801,"CENTRAL CONVENIENCE CAMBRIDGE MA","CAMBRIDGE     MA ",-19.98
03/02/2026,24055236060664822454603,"MBTA-550030048262 BOSTON MA","BOSTON        MA ",-2.40
03/02/2026,24431066060386775057193,"CHIPOTLE 1892 CAMBRIDGE MA","CAMBRIDGE     MA ",-16.91
03/02/2026,24427336059720257028510,"MCDONALD'S F2912 CAMBRIDGE MA","CAMBRIDGE     MA ",-11.22
03/02/2026,24036296059714924853201,"TM *TICKETMASTER 800-653-8000 CA","800-653-8000  CA ",-268.62
03/02/2026,24733096059114170002183,"GREEK AMERICAN POLITICAL CAMBRIDGE MA","CAMBRIDGE     MA ",-8.40
03/02/2026,24690296059017017675961,"NORTH STATION LIQUORS BOSTON MA","BOSTON        MA ",-10.39
03/02/2026,24137466059501312480698,"TST* SCORES - BOSTON BOSTON MA","BOSTON        MA ",-132.14
03/02/2026,24943006059386336388517,"TD GARDEN F&B BOSTON MA","BOSTON        MA ",-38.50
02/28/2026,24692166058103062744201,"SQ *KOKO COFFEE BOSTON MA","BOSTON        MA ",-13.06
02/28/2026,24137466058501044048145,"TST* STATE PARK 2 CAMBRIDGE MA","CAMBRIDGE     MA ",-13.77
02/28/2026,24692166058102563790812,"TST*CANDIBAR Boston MA","Boston        MA ",-11.87
